"date_prod","mast_id","well_id","state_name","dist_name","county_sl","wellnam_sl","wellnum_sl","legal_sl","sec_sl","twn_sl","twndir_sl","rng_sl","rngdir_sl","ftg1_sl","ftg1dir_sl","ftg1ref_sl","ftg2_sl","ftg2dir_sl","ftg2ref_sl","qtrsec_sl","ftgcor_sl","crtrqd1_sl","crtrqd2_sl","abstno_sl","blknam_sl","blknum_sl","srvynam_sl","srvynum_sl","well_ornt","county_bh","legal_bh","sec_bh","twn_bh","twndir_bh","rng_bh","rngdir_bh","ftg1_bh","ftg1dir_bh","ftg1ref_bh","ftg2_bh","ftg2dir_bh","ftg2ref_bh","qtrsec_bh","ftgcor_bh","crtrqd1_bh","crtrqd2_bh","abstno_bh","blknam_bh","blknum_bh","srvynam_bh","srvynum_bh","field_1","field_2","field_3","field_4","field_5","api_num","perm_num","well_purp","well_class","work_type","h2s_gas","date_post","date_aprv","well_prox","p_t_d","add_info","recrd_stat","map_ref","well_long","well_lat","oper_name","oper_cont","oper_phone","oper_addr","oper_city","oper_state","oper_zip"
"2013-05-07","1269853","1269853","AR","  ","CONWAY         ","HEMPHILL 9-14                 ","6-30 H19                 ","30-9N-14W-1938FNL-141FEL                                    ","30  ","9  ","N","14 ","W","1938 ","FNL   ","          ","141  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","19-9N-14W-20FNL-1494FEL                                     ","19  ","9  ","N","14 ","W","20   ","FNL   ","          ","1494 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11256-  ","46590   ","   ","GAS ","OD                  ",False,"2013-05-07","2013-05-06","2.9 MI NE OF CENTER RIDGE     ",4300,"                                                  ","APRV",1,0.0,0.0,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1269854","1269854","AR","  ","CONWAY         ","HEMPHILL 9-14                 ","7-30 H19                 ","30-9N-14W-1929FNL-123FEL                                    ","30  ","9  ","N","14 ","W","1929 ","FNL   ","          ","123  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","19-9N-14W-20FNL-894FEL                                      ","19  ","9  ","N","14 ","W","20   ","FNL   ","          ","894  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11257-  ","46591   ","   ","GAS ","OD                  ",False,"2013-05-07","2013-05-06","2.9 MI NE OF CENTER RIDGE     ",4300,"                                                  ","APRV",1,0.0,0.0,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1269855","1269855","AR","  ","CONWAY         ","HEMPHILL 9-14                 ","8-30 H19                 ","30-9N-14W-1920FNL-105FEL                                    ","30  ","9  ","N","14 ","W","1920 ","FNL   ","          ","105  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","19-9N-14W-20FNL-295FEL                                      ","19  ","9  ","N","14 ","W","20   ","FNL   ","          ","295  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11258-  ","46592   ","   ","GAS ","OD                  ",False,"2013-05-07","2013-05-06","2.9 MI NE OF CENTER RIDGE     ",4300,"                                                  ","APRV",1,0.0,0.0,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1269856","1269856","AR","  ","CONWAY         ","HEMPHILL 9-14                 ","9-30 H17                 ","30-9N-14W-1911FNL-87FEL                                     ","30  ","9  ","N","14 ","W","1911 ","FNL   ","          ","87   ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","17-9N-14W-719FSL-299FWL                                     ","17  ","9  ","N","14 ","W","719  ","FSL   ","          ","299  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11259-  ","46593   ","   ","GAS ","OD                  ",False,"2013-05-07","2013-05-06","2.9 MI NE OF CENTER RIDGE     ",4300,"                                                  ","APRV",1,0.0,0.0,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1269183","1269183","AR","  ","UNION          ","LOUIS WERNER -AB-             ","48                       ","5-16S-16W-2990FNL-818FWL                                    ","5   ","16 ","S","16 ","W","2990 ","FNL   ","          ","818  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","VER","UNION          ","5-16S-16W-2990FNL-818FWL                                    ","5   ","16 ","S","16 ","W","2990 ","FNL   ","          ","818  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","SMACKOVER           ","                    ","                    ","                    ","                    ","03-139-13416-  ","46577   ","   ","OIL ","OD                  ",False,"2013-05-03","2013-04-30","2 MI W OF SMACKOVER           ",2800,"                                                  ","APRV",2,-92.784206,33.363821,"JERRY LANGLEY OIL COMPANY, LLC         ","JERRY LANGLEY                     ","870-725-3042","P.O. BOX 113                            ","SMACKOVER                ","AR","71762-0113"
"2013-05-07","1269185","1269185","AR","  ","UNION          ","STONE                         ","2                        ","18-16S-16W-1030FNL-1827FWL                                  ","18  ","16 ","S","16 ","W","1030 ","FNL   ","          ","1827 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","VER","UNION          ","18-16S-16W-1030FNL-1827FWL                                  ","18  ","16 ","S","16 ","W","1030 ","FNL   ","          ","1827 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","SMACKOVER           ","                    ","                    ","                    ","                    ","03-139-13417-  ","46578   ","   ","OIL ","OD                  ",False,"2013-05-03","2013-04-30","2 MI W OF SMACKOVER           ",2800,"                                                  ","APRV",1,-92.798414,33.336988,"JERRY LANGLEY OIL COMPANY, LLC         ","JERRY LANGLEY                     ","870-725-3042","P.O. BOX 113                            ","SMACKOVER                ","AR","71762-0113"
"2013-05-07","1269187","1269187","AR","  ","VAN BUREN      ","COLLUMS FAMILY TRUST 10-13    ","16-34 H27                ","34-10N-13W-1800FNL-1084FWL                                  ","34  ","10 ","N","13 ","W","1800 ","FNL   ","          ","1084 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","VAN BUREN      ","27-10N-13W-20FNL-1078FWL                                    ","27  ","10 ","N","13 ","W","20   ","FNL   ","          ","1078 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-141-11696-  ","46587   ","   ","GAS ","OD                  ",False,"2013-05-03","2013-05-03","1.8 MI NE OF BEE BRANCH       ",3800,"                                                  ","APRV",1,-92.367306,35.463022,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1269189","1269189","AR","  ","VAN BUREN      ","COLLUMS FAMILY TRUST 10-13    ","17-34 H28                ","34-10N-13W-1854FNL-1054FWL                                  ","34  ","10 ","N","13 ","W","1854 ","FNL   ","          ","1054 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","VAN BUREN      ","28-10N-13W-20FNL-319FEL                                     ","28  ","10 ","N","13 ","W","20   ","FNL   ","          ","319  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-141-11697-  ","46588   ","   ","GAS ","OD                  ",False,"2013-05-03","2013-05-03","1.8 MI NE OF BEE BRANCH       ",7000,"                                                  ","APRV",1,-92.367413,35.462877,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1269851","1269851","AR","  ","VAN BUREN      ","BROWN 9-13                    ","9-31 H30                 ","31-9N-13W-328FNL-2390FWL                                    ","31  ","9  ","N","13 ","W","328  ","FNL   ","          ","2390 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","VAN BUREN      ","30-9N-13W-395FNL-1495FWL                                    ","30  ","9  ","N","13 ","W","395  ","FNL   ","          ","1495 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-141-11698-  ","46589   ","   ","GAS ","OD                  ",False,"2013-05-07","2013-05-06","1.1 MI NW OF DAMASCUS         ",5000,"                                                  ","APRV",1,0.0,0.0,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1269192","1269192","AR","  ","WHITE          ","PRATT 9-7                     ","6-14 H13                 ","14-9N-7W-470FNL-2529FWL                                     ","14  ","9  ","N","7  ","W","470  ","FNL   ","          ","2529 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","WHITE          ","13-9N-7W-511FSL-2100FWL                                     ","13  ","9  ","N","7  ","W","511  ","FSL   ","          ","2100 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-145-11424-  ","46582   ","   ","GAS ","OD                  ",False,"2013-05-03","2013-05-03","2.3 MI SW OF STEPROCK         ",3800,"                                                  ","APRV",1,-91.720291,35.41292,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
